Num2,Linear
1420,5.2e-07
1420,3.24e-06
1420,1.71e-06
1420,3.32e-06
1420,1.026e-05
1420,3.47e-06
1420,3.77e-06
1420,1.1e-06
1420,9.6e-07
1430,8.4e-07
1430,2.81e-06
1430,1.93e-06
1430,3.09e-06
1430,6.1e-07
1430,1.04e-06
1430,9.5e-07
1430,9.6e-07
1430,5e-08
1430,4.05e-06
1440,3.03e-06
1440,1.2e-07
1440,3.73e-06
1440,3.28e-06
1440,2.15e-06
1440,5.1e-07
1440,1.8e-06
1440,5.3e-07
1440,2.13e-06
1440,2.52e-06
1450,3.47e-06
1450,2.34e-06
1450,1.78e-06
1450,2.46e-06
1450,4.2e-06
1450,2.24e-06
1450,8e-07
1450,1.57e-06
1450,2.93e-06
1450,7.4e-07
1460,4.19e-06
1460,4.8e-07
1460,1.84e-06
1460,8.9e-07
1460,1.91e-06
1460,3.3e-07
1460,3.72e-06
1460,3.621e-06
1460,1.64e-06
1460,3.86e-06
1470,6.3e-07
1470,3.41e-06
1470,2.95e-06
1470,3.88e-06
1470,1.85e-06
1470,2.01e-06
1470,8.7e-07
1470,1.9e-07
1470,3.81e-06
1470,4.3e-06
1480,5.4e-07
1480,4.23e-06
1480,3.74e-06
1480,1.1e-06
1480,1.57e-06
1480,4.211e-06
1480,4.13e-06
1480,1.53e-06
1480,2.89e-06
1480,1.25e-06
1490,1.4e-06
1490,1.65e-06
1490,3.16e-06
1490,1.15e-06
1490,2.17e-06
1490,2.9e-06
1490,4.09e-06
1490,2.6e-07
1490,2.4e-07
1490,5e-07
1500,4.05e-06
1500,1.43e-06
1500,5.9e-07
1500,1.78e-06
1500,1.8e-07
1500,3.18e-06
1500,1.1e-07
1500,1.95e-06
1500,8.2e-07
1500,1.71e-06
1510,2.77e-06
1510,1.7e-07
1510,1.07e-06
1510,3.44e-06
1510,1.05e-06
1510,1.51e-06
1510,1.5e-07
1510,1.15e-06
1510,1e-07
1510,1.26e-06
1520,1.4e-06
1520,6.2e-07
1520,1.49e-06
1520,2.4e-07
1520,2.41e-06
1520,3.66e-06
1520,4.2e-06
1520,1.7e-06
1520,4.11e-06
1520,2.06e-06
1530,3.3e-07
1530,1.73e-06
1530,3.1e-06
1530,4.8e-07
1530,2.51e-06
