Num5,LinearLM
1390,1.58e-06
1390,1.58e-06
1390,1.58e-06
1390,1.58e-06
1390,1.589e-06
1390,1.58e-06
1390,1.58e-06
1400,1.59e-06
1400,1.59e-06
1400,1.59e-06
1400,1.59e-06
1400,1.59e-06
1400,1.6e-06
1400,1.59e-06
1400,1.59e-06
1400,1.6e-06
1400,1.59e-06
1410,1.61e-06
1410,1.61e-06
1410,1.61e-06
1410,1.6e-06
1410,1.6e-06
1410,1.6e-06
1410,1.6e-06
1410,1.6e-06
1410,1.6e-06
1410,1.62e-06
1420,1.62e-06
1420,1.61e-06
1420,1.61e-06
1420,1.62e-06
1420,1.61e-06
1420,1.62e-06
1420,1.61e-06
1420,1.61e-06
1420,1.61e-06
1420,1.61e-06
1430,1.63e-06
1430,1.63e-06
1430,1.63e-06
1430,1.63e-06
1430,1.62e-06
1430,1.62e-06
1430,1.62e-06
1430,1.62e-06
1430,1.62e-06
1430,1.62e-06
1440,1.64e-06
1440,1.65e-06
1440,1.65e-06
1440,1.64e-06
1440,1.63e-06
1440,1.64e-06
1440,1.63e-06
1440,1.64e-06
1440,1.64e-06
1440,1.64e-06
1450,1.65e-06
1450,1.65e-06
1450,1.65e-06
1450,1.65e-06
1450,1.65e-06
1450,1.64e-06
1450,1.65e-06
1450,1.65e-06
1450,1.649e-06
1450,1.65e-06
1460,1.66e-06
1460,1.66e-06
1460,1.67e-06
1460,1.66e-06
1460,1.66e-06
1460,1.66e-06
1460,1.66e-06
1460,1.64e-06
1460,1.64e-06
1460,1.65e-06
1470,1.66e-06
1470,1.66e-06
1470,1.66e-06
1470,1.66e-06
1470,1.66e-06
1470,1.66e-06
1470,1.66e-06
1470,1.66e-06
1470,1.66e-06
1470,1.66e-06
1480,1.67e-06
1480,1.67e-06
1480,1.67e-06
1480,1.67e-06
1480,1.67e-06
1480,1.67e-06
1480,1.68e-06
1480,1.68e-06
1480,1.67e-06
1480,1.67e-06
1490,1.69e-06
1490,1.69e-06
1490,1.68e-06
1490,1.69e-06
1490,1.68e-06
1490,1.68e-06
1490,1.69e-06
1490,1.68e-06
1490,1.68e-06
1490,1.68e-06
1500,1.69e-06
1500,1.7e-06
1500,1.69e-06
1500,1.69e-06
1500,1.69e-06
1500,1.69e-06
1500,1.69e-06
1500,1.69e-06
1500,1.7e-06
1500,1.69e-06
1510,1.7e-06
1510,1.71e-06
1510,1.7e-06
1510,1.71e-06
1510,1.71e-06
1510,1.71e-06
1510,1.71e-06
1510,1.71e-06
1510,1.7e-06
1510,1.71e-06
